Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1616008204.7463036,79,1616008204,743912448,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.7570386,80,1616008204,753917344,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.7665548,81,1616008204,764022400,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.7765532,82,1616008204,774004864,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.7883437,83,1616008204,783964000,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.7970564,84,1616008204,793910176,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8059406,85,1616008204,803926688,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8164523,86,1616008204,813907968,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8263533,87,1616008204,823976928,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8363764,88,1616008204,834004064,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.846288,89,1616008204,843904864,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8587482,90,1616008204,853918624,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8660753,91,1616008204,863932704,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8761995,92,1616008204,873887584,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8862565,93,1616008204,884005984,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.8967397,94,1616008204,894029248,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9064772,95,1616008204,903887712,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.916924,96,1616008204,913937952,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9272244,97,1616008204,923896384,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9378867,98,1616008204,933912544,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9472575,99,1616008204,943976224,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.957581,100,1616008204,954039520,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9669864,101,1616008204,964009216,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.9763508,102,1616008204,973899136,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
