Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1610059958.852798,5494,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,-0.0036000000000000003,1.0008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8561237,5495,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,-0.0036000000000000003,1.0008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.858754,5496,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,-0.0036000000000000003,1.0008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8623378,5497,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,-0.0036000000000000003,1.0008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.864679,5498,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013600000000000001,-0.0036000000000000003,1.0008000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8679976,5499,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8707292,5500,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8740807,5501,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8769467,5502,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8804653,5503,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
